DATE,buy/sell,STA,LTA,balance,amount of stock
06-16-21,BUY,37.09466142654419,37.061094741821286,22.157470703125,2601.0
10-14-21,SELL,40.94437103271484,41.37496109008789,104771.81064987183,2601.0
11-02-21,BUY,42.50083599090576,42.30746601104736,43.62636947631836,2060.0
01-21-22,BUY,61.81249313354492,53.78083690643311,0.7334632873535156,2061.0
01-31-22,SELL,53.413492393493655,53.48063144683838,90162.55696105957,2061.0
01-23-23,BUY,11.069293785095216,10.891863603591919,13.219928741455078,6181.0
04-25-23,BUY,15.797545671463013,14.103793449401856,0.13912677764892578,6182.0
05-12-23,SELL,14.248164892196655,14.306506328582763,85889.12732410431,6182.0
05-23-23,BUY,14.8080623626709,14.762681217193604,7.477669715881348,5122.0
09-20-23,SELL,21.49917860031128,21.66890012741089,94107.92247486115,5122.0
12-01-23,BUY,21.436272525787352,21.162501010894776,5.830964088439941,4103.0
05-09-24,SELL,37.598440647125244,37.96359800338745,163502.6740655899,4103.0
05-16-24,BUY,38.84344491958618,38.65357641220093,16.233330726623535,3544.0
06-27-24,FINAL SELL,55.05343952178955,44.88578931808472,190683.4306268692,3544.0
